name,artists,primary_color,album_name,album_image,album_type,spotify_url
Losing Sleep,Ben PJB,null,Losing Sleep,https://i.scdn.co/image/ab67616d0000b2730156fe1de514e0964add7d61,single,https://open.spotify.com/track/5HKCeZ3YzhILqMnjhEj14O
Ready For Love - Mähr Flip,Primate, Mähr,null,Ready For Love,https://i.scdn.co/image/ab67616d0000b27363daa8463bc706ffba315439,single,https://open.spotify.com/track/6hEArtYpEQZonqZGM31wwb
moment,Vierre Cloud,null,moment,https://i.scdn.co/image/ab67616d0000b273716278881a0a609adf14ffc5,single,https://open.spotify.com/track/5K9tfeoiztw94dyWzF39jq
Rain,Papa Khan,null,Rain,https://i.scdn.co/image/ab67616d0000b2736b1aaf973fd2f21a0751cc26,single,https://open.spotify.com/track/4SGCk2NRPEueHeupJiIdy4
Blossom,Papa Khan,null,Blossom EP,https://i.scdn.co/image/ab67616d0000b273b91c79328756908a4f6a8d13,single,https://open.spotify.com/track/6prY6C9RJfkFtOQq3Rfwgp
Meninggal,Papa Khan,null,Oh My Papa,https://i.scdn.co/image/ab67616d0000b273d024bd66d17abd04bb35198a,single,https://open.spotify.com/track/7lMDHzZfjbAXJPguzDjfWi
Dip It - Dr. Ozi Remix,Zomboy, Dr. Ozi,null,Neon Grave Remixed,https://i.scdn.co/image/ab67616d0000b27326672c6f772ea6aff0ec2950,single,https://open.spotify.com/track/1EMDeYsV0mdtDRyixqPDav
Stuart,Maxd, LoneMoon,null,Toothpaste & Orange Juice,https://i.scdn.co/image/ab67616d0000b273d4f3ea987ce26bc031c56984,album,https://open.spotify.com/track/7aihGcUdbSWUrUd7EAb4wp
Call Of The Unicorn,Moore Kismet, Tasha Baxter,null,Call Of The Unicorn,https://i.scdn.co/image/ab67616d0000b27320bafef7d2cc0216ed6b623f,single,https://open.spotify.com/track/2KeKdCw71RYkItxXeW0UyQ
SORROW TECH,MUST DIE!,null,CRISIS VISION,https://i.scdn.co/image/ab67616d0000b273f591aef1b15cc573c7b1f723,album,https://open.spotify.com/track/0drlOONEJOImRO8EQwTdQt
let it go,Somnium Sound,null,let it go,https://i.scdn.co/image/ab67616d0000b273254626286e09078e039a859b,single,https://open.spotify.com/track/1czCYuXfV3XtRTgxnVqyHY
Rumor,Moore Kismet, WYN,null,Rumor,https://i.scdn.co/image/ab67616d0000b273ae2fd46e566759e2c35d42e6,single,https://open.spotify.com/track/2QC2PTvF3yONXlvih301aR
Get High,Oliverse,null,Dimension EP,https://i.scdn.co/image/ab67616d0000b27322d8cb1c9d3c57137b546cc9,single,https://open.spotify.com/track/7ikxeH5UEtVb5okhmgk60g
Sakura VIP,NUU$HI,null,Sakura VIP,https://i.scdn.co/image/ab67616d0000b27397dd038a9c59aaffa7013199,single,https://open.spotify.com/track/4x0DXKcYYlI3bWxTf768D6
Your Face,Dr. Ozi, Val,null,Stampede EP,https://i.scdn.co/image/ab67616d0000b273582501e5d4e4ad6b5eeaf917,single,https://open.spotify.com/track/6DM4QUqKJhCAToHtOeO35o
WITHOUT YOU!,KILL FEED,null,WITHOUT YOU!,https://i.scdn.co/image/ab67616d0000b2736210c1a2a5bc6733e5ba2057,single,https://open.spotify.com/track/5c761BhPaRgu0P5KlxtQqf
Never Cared,Papa Khan,null,Never Cared,https://i.scdn.co/image/ab67616d0000b273111267fa7d99b41d1fbb002d,single,https://open.spotify.com/track/1eFlpHjgc4OCRMo4TgAh5g
FADE,Ramzoid, sober rob,null,FADE,https://i.scdn.co/image/ab67616d0000b2732e76337249a4a1f954ac1bc4,single,https://open.spotify.com/track/2queNX3zTuto5XSXuUZlEe
Rise,Ace Aura,null,Rise,https://i.scdn.co/image/ab67616d0000b273225cf46388f5182dbf482641,single,https://open.spotify.com/track/6w5gGHFUPphXMURSeSQpGG
Hitboy,Duki, KHEA,null,Súper Sangre Joven,https://i.scdn.co/image/ab67616d0000b273e1f10079298289dc8d1d42c0,album,https://open.spotify.com/track/51dqvo5QYezL3rjL6qjksA
Malo Tebya,sykoman,null,Malo Tebya,https://i.scdn.co/image/ab67616d0000b2737d09a9ca1f987896af87f3f9,single,https://open.spotify.com/track/6DG4UNYc86nHIMYlsrpRrz
Solo,Automhate,null,Solo,https://i.scdn.co/image/ab67616d0000b273f19aee9a8fb9c95dd17156d5,single,https://open.spotify.com/track/7e02UqMfO2gg39jezPHsEx
