name,artists,primary_color,album_name,album_image,album_type,spotify_url
Sleepy Hollow,Trippie Redd,null,Sleepy Hollow,https://i.scdn.co/image/ab67616d0000b2736f53f721c7bed7f8d159cfcb,single,https://open.spotify.com/track/3v84EI4rMdsqJ95MxwIjQa
Mona Lisa,Brentrambo, LUCKI,null,Mona Lisa,https://i.scdn.co/image/ab67616d0000b27344550489aedc9e9e477bc061,single,https://open.spotify.com/track/6T8U7x901X8TDNDDQ0oEaC
Anything,Austin Skinner, Belis,null,Anything,https://i.scdn.co/image/ab67616d0000b273d049a948f0c3cce5511d4ed0,single,https://open.spotify.com/track/1ooq3nlROfxMGr1uxWLhA1
PINK ROSES,SportVVS,null,SPORT MODE,https://i.scdn.co/image/ab67616d0000b27330c0b0eb5f6becffcae71331,album,https://open.spotify.com/track/6XbdEy1AKlgNL7USRC2HQc
Save Me from Myself,Wifisfuneral,null,4 Month Binge Before Revenge,https://i.scdn.co/image/ab67616d0000b2736514fba2ef7dd9d4b45abd8d,album,https://open.spotify.com/track/4HuitjB6Va7hTUabWKBVqz
Lejos,Babi, Albany,null,Lejos,https://i.scdn.co/image/ab67616d0000b273fc369a54b1952dae4ce75063,single,https://open.spotify.com/track/1PbIKx9rhDslGVpW9Fo1Fq
Rage,Aviana,null,Rage,https://i.scdn.co/image/ab67616d0000b273ee852351eb06e3bf0aa62697,single,https://open.spotify.com/track/013gFBH6Qqs79Zbj7WOdsu
espejo gris,AKRIILA,null,espejo gris,https://i.scdn.co/image/ab67616d0000b273aa4ffc35ff2ab7b59b24bf8f,single,https://open.spotify.com/track/6nujFm7HQTbpuNi7zDqnFI
Love Me Again,Yunggoth✰,null,Love Me Again,https://i.scdn.co/image/ab67616d0000b273e0c3ff9eeaacd28dbed3aa8c,single,https://open.spotify.com/track/1In2SL7fMVQD06TeMuPJWA
Love Hurts,Yunggoth✰,null,Love Hurts,https://i.scdn.co/image/ab67616d0000b27365382b921ca0ab2428a97235,single,https://open.spotify.com/track/11UXsuAHl1z5erfaSFP9rd
Falling,Trevor Daniel,null,Nicotine,https://i.scdn.co/image/ab67616d0000b2734dbf782532ca5d09012dc2d5,album,https://open.spotify.com/track/0Aqi7ArnBrGblW5T6p2jmD
Burn,Juice WRLD,null,Fighting Demons (Deluxe),https://i.scdn.co/image/ab67616d0000b2737459992b444de38842b9bee7,album,https://open.spotify.com/track/1X8E4vVoOM3BpSQlEDSjjM
King Of The Dead,XXXTENTACION,null,LOOK AT ME: THE ALBUM,https://i.scdn.co/image/ab67616d0000b27352cc5e3765a135c52e1bbbbc,album,https://open.spotify.com/track/46OkOaarmTsAQQFfZSsruW
white tee,Lil Peep, Lil Tracy,null,crybaby,https://i.scdn.co/image/ab67616d0000b2731fdf8f713b0f86a99f5483b0,album,https://open.spotify.com/track/4TVsTKQVeC99tCjfRKLeob
2 Hot 4 U,Fat Nick, $uicideboy$,null,When the Lean Runs Out,https://i.scdn.co/image/ab67616d0000b27301a31b92c292c3c651b6bc61,album,https://open.spotify.com/track/4sisFklZd79LrAR58XZgxb
Psycho Pass,Xavier Wulf,null,Blood Shore Season 2,https://i.scdn.co/image/ab67616d0000b2734080317bbaf1ea9956767434,album,https://open.spotify.com/track/3kZAm2TC74lBJFPDoV40Qc
Ma Boy,Dreamville, JID, Lute,null,Ma Boy,https://i.scdn.co/image/ab67616d0000b27365ac5e83eb3b7b41f9e2d98b,single,https://open.spotify.com/track/1kn9JsBWIw6qREhDWw0lKb
2 AM,SWAVAY,null,Pure Infinity,https://i.scdn.co/image/ab67616d0000b2738359c0ca021aab4c0fcdf545,album,https://open.spotify.com/track/3g3RCV5ImXwzHpKwM2iunc
42 Hundred Choices,IDK,null,Is He Real?,https://i.scdn.co/image/ab67616d0000b27321036922dca01ae33cac03ad,album,https://open.spotify.com/track/5yl7WSp3mot0nepMQvfVi3
What’s Next,Drake,null,Scary Hours 2,https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc,single,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
Over the Rainbow,Cooliecut, Kin$oul, Rawhool Mane,null,XXXTENTACION Presents: Members Only, Vol. 4,https://i.scdn.co/image/ab67616d0000b27365ba84e2771cc90d8192a06a,album,https://open.spotify.com/track/5ocuRCDSWiUMZcWI4Utd9g
Onna Come Up,Lil Eazzyy,null,Underrated,https://i.scdn.co/image/ab67616d0000b27332399fb986ec8a7f6d8b01e5,album,https://open.spotify.com/track/0e4A9Fak1nJ7RtBD8YpoEo
Off Deez (with J. Cole),JID, J. Cole,null,DiCaprio 2,https://i.scdn.co/image/ab67616d0000b273f5991f6f1f0de2277bb8d948,album,https://open.spotify.com/track/3JAeYOjyJodI4PRs44lx2l
Low Down,Lil Baby,null,My Turn (Deluxe),https://i.scdn.co/image/ab67616d0000b27376a4577dd654bf457a4ad1f8,album,https://open.spotify.com/track/5m0yZ33oOy0yYBtdTXuxQe
