name,artists,primary_color,album_name,album_image,album_type,spotify_url
Bad Bitch,Basco,null,Bad Bitch,https://i.scdn.co/image/ab67616d0000b273bd94eef9695274ddc8e681a6,single,https://open.spotify.com/track/3SNSdqRNJlXd02qyP2xPQY
I Can't See You In The Dark,rei brown,null,I Can't See You In The Dark,https://i.scdn.co/image/ab67616d0000b273ce0c6ca894e5d91d3938a3b1,single,https://open.spotify.com/track/2HlHITUmvvhxXwIH9V7b4s
Monsoon,Br*eakfast,null,Monsoon,https://i.scdn.co/image/ab67616d0000b27306d9a0206fd0a331e50caa90,single,https://open.spotify.com/track/5CjQFlgu9ciAFCN2jQlsOO
Peace,Nainsy, Pavar Sunil Choudhary,null,Peace,https://i.scdn.co/image/ab67616d0000b2737b4dc9d8be1dacde29e99ecf,single,https://open.spotify.com/track/4xrVcDy8bZ2V1i7vLGhukJ
Low Key,$uicideboy$,null,Now the Moon's Rising,https://i.scdn.co/image/ab67616d0000b273eede8ca62134dd7bdecb6085,album,https://open.spotify.com/track/2nzjXDv6OuRHrHKhfhfB98
White Tee (with NO1-NOAH),Summer Walker, NO1-NOAH,null,Life On Earth - EP,https://i.scdn.co/image/ab67616d0000b2738423c8534a6a7a010f94bb47,single,https://open.spotify.com/track/5m0eMnsWwzgGsUxe1mhFYR
Notion,The Rare Occasions,null,Notion,https://i.scdn.co/image/ab67616d0000b273598721fc8c9dde3f65a73a08,single,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
Some Things,Verzache,null,Thought Pool,https://i.scdn.co/image/ab67616d0000b273e459dd52fc5653480452049c,album,https://open.spotify.com/track/4svAadev9s55Md7nXfAXtK
Us and Them,Derek Pope,null,Epochs,https://i.scdn.co/image/ab67616d0000b273f78938c624f4228cbf1fdd8d,album,https://open.spotify.com/track/7FhinvMWYiHfU1KHr8Bxek
Bad Trip,Derek Pope,null,We're All Strangers,https://i.scdn.co/image/ab67616d0000b2733111910eddd8e8b0ee413e9c,album,https://open.spotify.com/track/1XCMRQPTioZcG7AzGq3O2f
Up Up and Away,Derek Pope,null,Epochs,https://i.scdn.co/image/ab67616d0000b273f78938c624f4228cbf1fdd8d,album,https://open.spotify.com/track/5MzAdOahVsGuDw40wOcZmJ
Faithfully,Derek Pope,null,Poltergeist,https://i.scdn.co/image/ab67616d0000b2735c3ea7b57b300a4e04d7e55f,single,https://open.spotify.com/track/4uAoBM6wBYkrGJazK6UdaL
World Full of Snakes,DROELOE, PJOTR V,null,A Matter Of Perspective,https://i.scdn.co/image/ab67616d0000b2735f1f1c836f2519b6579ae4df,album,https://open.spotify.com/track/13ahcl3hGnE0fffCbXOLTy
a beat about a beat,jabeau,null,a beat about a beat,https://i.scdn.co/image/ab67616d0000b273c166631c0e23a6cd0841226e,single,https://open.spotify.com/track/2s4s3g8A0GFOQNb0WQakHw
IN A DREAM,Idstayawaytoo,null,IN A DREAM,https://i.scdn.co/image/ab67616d0000b273fd4e42c20c3d4ca9ebf7c1f2,single,https://open.spotify.com/track/5Ry6igCWf4XjHAhocKdLE2
