name,artists,primary_color,album_name,album_image,album_type,spotify_url
15,The Space Ocean,null,Details Vanish,https://i.scdn.co/image/ab67616d0000b273392f741bf762932cf172566d,album,https://open.spotify.com/track/45rpQzLQWofg1S8ULBuEVk
i walk this earth all by myself,EKKSTACY,null,NEGATIVE,https://i.scdn.co/image/ab67616d0000b2738a4281dc0abc2b840e65bcfe,album,https://open.spotify.com/track/6oofvZ4K8vBHnCT1oKERcd
Pope Is a Rockstar,SALES,null,SALES LP,https://i.scdn.co/image/ab67616d0000b2731138eea74b6d7e06289bedaa,album,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2
Some Things,Verzache,null,Thought Pool,https://i.scdn.co/image/ab67616d0000b273e459dd52fc5653480452049c,album,https://open.spotify.com/track/4svAadev9s55Md7nXfAXtK
Psycho Killer,Talking Heads,null,Popular Favorites 1976 - 1992 / Sand in the Vaseline,https://i.scdn.co/image/ab67616d0000b273f704c874cd053dbac89591b3,compilation,https://open.spotify.com/track/449DFUJKZlzSO684XlVjEn
Bad Habit,Steve Lacy,null,Gemini Rights,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee,album,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
Hold My Head,Kenny Beats,null,LOUIE,https://i.scdn.co/image/ab67616d0000b2735c2bbb4d4a66a70310705a26,album,https://open.spotify.com/track/4eSZUNz2flCKs7zESV50kW
505,Arctic Monkeys,null,Favourite Worst Nightmare (Standard Version),https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90,album,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
Freaks,Surf Curse,null,Freaks,https://i.scdn.co/image/ab67616d0000b2739efda673310de265a2c1cf1f,single,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
it only gets worse, i promise,EKKSTACY,null,NEGATIVE,https://i.scdn.co/image/ab67616d0000b2738a4281dc0abc2b840e65bcfe,album,https://open.spotify.com/track/5H0BawU5IlPVzLTiresJwa
