name,artists,primary_color,album_name,album_image,album_type,spotify_url
Between the Lines,The Ghost Inside,null,Returners,https://i.scdn.co/image/ab67616d0000b273c8c4f8bc47d37fa95b2ead58,album,https://open.spotify.com/track/3FDnS83MBDDMFGiqnHuMft
Downbeat,The Ghost Inside,null,Returners,https://i.scdn.co/image/ab67616d0000b273c8c4f8bc47d37fa95b2ead58,album,https://open.spotify.com/track/73VvUkuO2R2hWMMEtlWu3t
Dark Horse,The Ghost Inside,null,Get What You Give,https://i.scdn.co/image/ab67616d0000b273eaccf766c181fa3ff24048d4,album,https://open.spotify.com/track/1ll885yKfJ7L81ypmiJgFM
Test The Limits,The Ghost Inside,null,Get What You Give,https://i.scdn.co/image/ab67616d0000b273eaccf766c181fa3ff24048d4,album,https://open.spotify.com/track/3XUsc37wxXv7S57xkMHLeg
For What It's Worth,The Air I Breathe,null,Great Faith In Fools,https://i.scdn.co/image/ab67616d0000b273e734af8bb49819b8b9c0405e,album,https://open.spotify.com/track/7hyVRanVUERhyK4s09tWQO
Machina,Crystal Lake,null,Apollo / Machina,https://i.scdn.co/image/ab67616d0000b273609a8a6a6eda9ba08093f4a7,single,https://open.spotify.com/track/1Lhf6DrCdN21VMwuTeaZHq
Hated,Beartooth,null,Aggressive,https://i.scdn.co/image/ab67616d0000b2736caec4aa85cec703b2ab6f5a,album,https://open.spotify.com/track/2NRa4W3rH4e5GKQMN5Qwyr
Fantasy,LANDMVRKS,null,Fantasy,https://i.scdn.co/image/ab67616d0000b273aec702cbdf8b437e18049898,album,https://open.spotify.com/track/7Eb9cs3G5DQyi3Qh3o5StT
The Worst of You and Me,LANDMVRKS,null,Fantasy,https://i.scdn.co/image/ab67616d0000b273aec702cbdf8b437e18049898,album,https://open.spotify.com/track/2w66N4eHFp2Ei60fotpND9
The Tracks We Leave Behind,Dream on Dreamer,null,Loveless,https://i.scdn.co/image/ab67616d0000b2735f36a342299e8c6768e2b410,album,https://open.spotify.com/track/4rbvFh2pZR2caDkbpqy6Vm
Ceremony,Casey,null,Love Is Not Enough,https://i.scdn.co/image/ab67616d0000b2737cea85e107978b31db7f4cfe,album,https://open.spotify.com/track/3J7GDwpYov3Yyh646ukGZ6
Wash Away,Ambleside,null,Shape Me,https://i.scdn.co/image/ab67616d0000b2733d3d005f74afad950499e08e,single,https://open.spotify.com/track/6cHOi5m75d3W57ezmw4WRr
Mikasa,Veil Of Maya,null,Matriarch,https://i.scdn.co/image/ab67616d0000b273de27eb295d0e696a4cb5f284,album,https://open.spotify.com/track/2HOzIImONoureOPryEFArI
Hell,Casey,null,Fade,https://i.scdn.co/image/ab67616d0000b273441350a55769f32299277afc,single,https://open.spotify.com/track/54etS073h2b6DmMmySptU4
Deception,Dance Gavin Dance,null,Mothership,https://i.scdn.co/image/ab67616d0000b273209ec0e7aef2871a5a4c2f49,album,https://open.spotify.com/track/4NuFrArppAgXPZKCbImtiF
The Downfall Of Us All,A Day To Remember,null,Homesick (Special Edition),https://i.scdn.co/image/ab67616d0000b2733c7d5cee6f8aaf4bfb2df149,album,https://open.spotify.com/track/3ZxRTWNVtsruD7oCMUV9vQ
The First Night of Autumn,More Than Life,null,Love Let Me Go,https://i.scdn.co/image/ab67616d0000b2736540f35615a5fdcbd5a76132,album,https://open.spotify.com/track/1vj82IFDlGiNpvrtQRyhEB
Hansha,Oceans Ate Alaska,null,Hikari,https://i.scdn.co/image/ab67616d0000b273bdc7298ea8625742c5a6501c,album,https://open.spotify.com/track/3EC4B8QG0trMZFHBbiDKVN
Blood Brothers,Oceans Ate Alaska,null,Lost Isles,https://i.scdn.co/image/ab67616d0000b2731f5640ca9dd0a88e0eeff2dd,album,https://open.spotify.com/track/6LSTs7kJWpUGqipr5rrt13
Vultures And Sharks,Oceans Ate Alaska,null,Lost Isles,https://i.scdn.co/image/ab67616d0000b2731f5640ca9dd0a88e0eeff2dd,album,https://open.spotify.com/track/0yi98madXjLibiS9ISETvE
