name,artists,primary_color,album_name,album_image,album_type,spotify_url
Fantasy,LANDMVRKS,null,Fantasy,https://i.scdn.co/image/ab67616d0000b273aec702cbdf8b437e18049898,album,https://open.spotify.com/track/7Eb9cs3G5DQyi3Qh3o5StT
Wake up Call,LANDMVRKS,null,Fantasy,https://i.scdn.co/image/ab67616d0000b273aec702cbdf8b437e18049898,album,https://open.spotify.com/track/1uqMYleX3qdT0M12NUNIlB
Scars,LANDMVRKS, NOVELISTS,null,Fantasy,https://i.scdn.co/image/ab67616d0000b273aec702cbdf8b437e18049898,album,https://open.spotify.com/track/0eLcZsqcdFoosQC3DV3d4L
The Worst of You and Me,LANDMVRKS,null,Fantasy,https://i.scdn.co/image/ab67616d0000b273aec702cbdf8b437e18049898,album,https://open.spotify.com/track/2w66N4eHFp2Ei60fotpND9
Blistering,LANDMVRKS,null,Fantasy,https://i.scdn.co/image/ab67616d0000b273aec702cbdf8b437e18049898,album,https://open.spotify.com/track/0SdVL4hfMpUApriiJd6Y4O
False Reality,LANDMVRKS,null,Fantasy,https://i.scdn.co/image/ab67616d0000b273aec702cbdf8b437e18049898,album,https://open.spotify.com/track/7MMqvdwoDdXTz0ojGDsjp9
Reckoning,LANDMVRKS, ten56.,null,Fantasy,https://i.scdn.co/image/ab67616d0000b273aec702cbdf8b437e18049898,album,https://open.spotify.com/track/2EdhMG30ix1ItYPW067c9D
Alive,LANDMVRKS, Bliss Sigh,null,Fantasy,https://i.scdn.co/image/ab67616d0000b273aec702cbdf8b437e18049898,album,https://open.spotify.com/track/1VJEy6Q89UshdrhrpwW3Eg
Dead Inside,LANDMVRKS,null,Fantasy,https://i.scdn.co/image/ab67616d0000b273aec702cbdf8b437e18049898,album,https://open.spotify.com/track/4qtugKj7m4KRNuGGdDsyYi
Kurhah,LANDMVRKS,null,Fantasy,https://i.scdn.co/image/ab67616d0000b273aec702cbdf8b437e18049898,album,https://open.spotify.com/track/1ZQ99k2kfw2RyDYdGhbed7
Disdain,LANDMVRKS,null,Fantasy,https://i.scdn.co/image/ab67616d0000b273aec702cbdf8b437e18049898,album,https://open.spotify.com/track/3QUFqEwPUNCNoXGVgIotxE
Metamorph,Oceans Ate Alaska,null,Metamorph,https://i.scdn.co/image/ab67616d0000b273a3dda922b38b429ce519d209,single,https://open.spotify.com/track/5vAJ34CDAMijpywxBxyupZ
For What It's Worth,The Air I Breathe,null,Great Faith In Fools,https://i.scdn.co/image/ab67616d0000b273e734af8bb49819b8b9c0405e,album,https://open.spotify.com/track/7hyVRanVUERhyK4s09tWQO
Sorry,Sleep Talk,null,Growing Pains,https://i.scdn.co/image/ab67616d0000b273e9ac81f3dce6fe25da858b26,single,https://open.spotify.com/track/0inbvkuJ9Sx7sx63fXorjM
Shiver,Vacant Home,null,Reflect, Respond,https://i.scdn.co/image/ab67616d0000b273e0c1a68c806bd7b1db43d3e8,album,https://open.spotify.com/track/3ntEiL5GlHfApGNBKmjr2a
Bliss,Vacant Home,null,Reflect, Respond,https://i.scdn.co/image/ab67616d0000b273e0c1a68c806bd7b1db43d3e8,album,https://open.spotify.com/track/079DqcJTYJ73UGutv1YZfN
Something In The Way,Cruel Queen,null,Something In The Way,https://i.scdn.co/image/ab67616d0000b27369128763dd9e166869a6519d,single,https://open.spotify.com/track/1RR51gkltL42GgvkkIYcF7
Sleeping Slaves of Fate,Lucrecia,null,Sleeping Slaves of Fate,https://i.scdn.co/image/ab67616d0000b273a18ec4842bc39bc9f99ae419,single,https://open.spotify.com/track/0bZ3jdP5NgwIqBib7GkxfU
The Way She Goes,Doppelganger,null,Doppelganger,https://i.scdn.co/image/ab67616d0000b27309b37b06a835cc2f4f10c410,album,https://open.spotify.com/track/7f1QvibEJKumhdzoXQcfS6
Prayer,Inchaos,null,Prayer,https://i.scdn.co/image/ab67616d0000b27387763e070689d8d5ce8e8e73,single,https://open.spotify.com/track/3l3FO9s9eRijx02EIBtTMt
Erase Me,Make Them Suffer,null,How To Survive A Funeral,https://i.scdn.co/image/ab67616d0000b273e7e85e2e5e6a17406f13511a,album,https://open.spotify.com/track/0snhTvHSZ5ACrvdcVWeCDS
Rage,Aviana,null,Rage,https://i.scdn.co/image/ab67616d0000b273ee852351eb06e3bf0aa62697,single,https://open.spotify.com/track/013gFBH6Qqs79Zbj7WOdsu
Doomswitch,Make Them Suffer,null,Doomswitch,https://i.scdn.co/image/ab67616d0000b27346ed2365695de346fa0027e8,single,https://open.spotify.com/track/6pUUtKVRmODliJWTyY2pet
