name,artists,primary_color,album_name,album_image,album_type,spotify_url
Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,null,Hounds of Love (2018 Remaster),https://i.scdn.co/image/ab67616d0000b2735c390e413e27798edd4d18b4,album,https://open.spotify.com/track/29d0nY7TzCoi22XBqDQkiP
After Dark,Mr.Kitty,null,Time,https://i.scdn.co/image/ab67616d0000b273b492477206075438e0751176,album,https://open.spotify.com/track/2LKOHdMsL0K9KwcPRlJK2v
505,Arctic Monkeys,null,Favourite Worst Nightmare,https://i.scdn.co/image/ab67616d0000b273b1f8da74f225fa1225cdface,album,https://open.spotify.com/track/0BxE4FqsDD1Ot4YuBXwAPp
No Surprises,Radiohead,null,OK Computer,https://i.scdn.co/image/ab67616d0000b273c8b444df094279e70d0ed856,album,https://open.spotify.com/track/10nyNJ6zNy2YVYLrcwLccB
K.,Cigarettes After Sex,null,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b2736b701428ed4c6e053902174a,album,https://open.spotify.com/track/7LX4aXtvImhdgUHQBlo8Kp
Glimpse of Us,Joji,null,Glimpse of Us,https://i.scdn.co/image/ab67616d0000b27308596cc28b9f5b00bfe08ae7,single,https://open.spotify.com/track/6xGruZOHLs39ZbVccQTuPZ
i walk this earth all by myself,EKKSTACY,null,NEGATIVE,https://i.scdn.co/image/ab67616d0000b2738a4281dc0abc2b840e65bcfe,album,https://open.spotify.com/track/6oofvZ4K8vBHnCT1oKERcd
American Spirits,Inner Wave,null,III,https://i.scdn.co/image/ab67616d0000b273bb19d97e05228f69f0cbac8a,album,https://open.spotify.com/track/01w1oN1WO5aOThHnLBN8eS
Undercover Martyn,Two Door Cinema Club,null,Tourist History,https://i.scdn.co/image/ab67616d0000b2731d579563f814da8508cafad2,album,https://open.spotify.com/track/0Hrd6CSafHHqKptyFppmqH
Disco,Surf Curse,null,Disco,https://i.scdn.co/image/ab67616d0000b273938fa1b1ee50acdc57396e2f,single,https://open.spotify.com/track/2Lumsra3kuU61wXkEKzKaK
The Less I Know The Better,Tame Impala,null,Currents,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,album,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
Monsoon,Br*eakfast,null,Monsoon,https://i.scdn.co/image/ab67616d0000b27306d9a0206fd0a331e50caa90,single,https://open.spotify.com/track/5CjQFlgu9ciAFCN2jQlsOO
Notion,The Rare Occasions,null,Notion,https://i.scdn.co/image/ab67616d0000b273598721fc8c9dde3f65a73a08,single,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
Psycho Killer,Talking Heads,null,Popular Favorites 1976 - 1992 / Sand in the Vaseline,https://i.scdn.co/image/ab67616d0000b273f704c874cd053dbac89591b3,compilation,https://open.spotify.com/track/449DFUJKZlzSO684XlVjEn
Acid Rain,Lorn,null,The Maze To Nowhere,https://i.scdn.co/image/ab67616d0000b2734e7be339cee55cf14e6bc50f,album,https://open.spotify.com/track/7pM9cLbrgRGX1hHElTX92m
little dark age,Vladini,null,little dark age,https://i.scdn.co/image/ab67616d0000b2738cdba6e66abacdefd1503e48,single,https://open.spotify.com/track/6G24jzWDdkV00lPvM8KKU8
Rollin (feat. Future & Khalid),Calvin Harris, Future, Khalid,null,Rollin (feat. Future & Khalid),https://i.scdn.co/image/ab67616d0000b27391971f372a4499c52f4ebc1c,single,https://open.spotify.com/track/3FDrI0FLKzrYQiWxPhqV2W
Freaks,Surf Curse,null,Freaks,https://i.scdn.co/image/ab67616d0000b2739efda673310de265a2c1cf1f,single,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
it only gets worse, i promise,EKKSTACY,null,NEGATIVE,https://i.scdn.co/image/ab67616d0000b2738a4281dc0abc2b840e65bcfe,album,https://open.spotify.com/track/5H0BawU5IlPVzLTiresJwa
My Kind of Woman,Mac DeMarco,null,2,https://i.scdn.co/image/ab67616d0000b2739d377496c6bc8724b521222d,album,https://open.spotify.com/track/6jgkEbmQ2F2onEqsEhiliL
Sweet Dreams, TN,The Last Shadow Puppets,null,Everything You've Come To Expect (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27399845928b10d57ec9f95e953,album,https://open.spotify.com/track/1W0OCrMsRP1SLTEdw3JwEz
The Perfect Girl,Mareux,null,The Perfect Girl,https://i.scdn.co/image/ab67616d0000b2733d54a30e59638f60f56dd4e6,single,https://open.spotify.com/track/5RBOcBpJXaNnHCGViJmYhh
Gilded Lily,Cults,null,Offering,https://i.scdn.co/image/ab67616d0000b273d0349cd631791ca446be337a,album,https://open.spotify.com/track/3Z0qLOS0cqWKPHXkbTXmNF
Somebody's Watching Me,Rockwell,null,12" 80s Classics,https://i.scdn.co/image/ab67616d0000b2735284333459b08de72e2bda0d,compilation,https://open.spotify.com/track/2gGdO0zLa9W8ce1Ig0BzFK
Next Exit,Vacations,null,Next Exit,https://i.scdn.co/image/ab67616d0000b2739dbdce5c169c93707e0b9500,single,https://open.spotify.com/track/0xkSfBYxRMTLgrinRJlzfz
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson, Miley Cyrus,null,Late Night Feelings,https://i.scdn.co/image/ab67616d0000b273de087ae2924d2c1654f60d74,album,https://open.spotify.com/track/02dRkCEc8Q5ch4TTcnLxOn
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk, Pharrell Williams, Nile Rodgers,null,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],https://i.scdn.co/image/ab67616d0000b2731d5cf960a92bb8b03fc2be7f,single,https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof
