name,artists,primary_color,album_name,album_image,album_type,spotify_url
You and Me,Inchaos,null,You and Me,https://i.scdn.co/image/ab67616d0000b273a5d7d410bd5f374d7c7e3362,single,https://open.spotify.com/track/5HcO9ae1NXw9U5slvgk9EQ
Marionette,Windrunner, Michael Lawler,null,Marionette,https://i.scdn.co/image/ab67616d0000b27357c55ed4afa37aa0c633197b,single,https://open.spotify.com/track/5CJiqeYt2dTVTxFexmNteg
Gravity,Windrunner,null,Gravity,https://i.scdn.co/image/ab67616d0000b273e91d0c7b5fa71371347b5acb,single,https://open.spotify.com/track/4wgDw9NIVdv8oNA4nbRiJq
Sleeping Slaves of Fate,Lucrecia,null,Sleeping Slaves of Fate,https://i.scdn.co/image/ab67616d0000b273a18ec4842bc39bc9f99ae419,single,https://open.spotify.com/track/0bZ3jdP5NgwIqBib7GkxfU
Silent spear,mildrage,null,ROM,https://i.scdn.co/image/ab67616d0000b2739e85ac9f60018beed534b184,single,https://open.spotify.com/track/5l5O5zu4Vnmse6SHbxORDM
Armeria,mildrage,null,Armeria,https://i.scdn.co/image/ab67616d0000b2733710be9e664dbbca1d7eae2a,single,https://open.spotify.com/track/4ZcpiXlazBfXliUVX7w6Ie
Forever,「Story of Hope」,null,Alethea,https://i.scdn.co/image/ab67616d0000b2735e8dc6774fdf96b0f1e3875f,single,https://open.spotify.com/track/2Kuc60CFBMju0j9pMjuJHE
your colors, your feelings (Remastered),「Story of Hope」,null,#Remastered,https://i.scdn.co/image/ab67616d0000b27345227a6ee56477f51ec3d0da,album,https://open.spotify.com/track/6vOqGAAv5zmKBMPwLT0qT3
Watch Me Burn,Crystal Lake,null,Watch Me Burn,https://i.scdn.co/image/ab67616d0000b27353229005aa2bc502aaca28c7,single,https://open.spotify.com/track/1y8EEqXNbi7LtBpPLMPRui
Apollo,Crystal Lake,null,Helix,https://i.scdn.co/image/ab67616d0000b273ad2b62bd7dbf6b4917b918cd,album,https://open.spotify.com/track/6qZthmNcaK0jlrkMZ3khmy
Machina,Crystal Lake,null,Apollo / Machina,https://i.scdn.co/image/ab67616d0000b273609a8a6a6eda9ba08093f4a7,single,https://open.spotify.com/track/1Lhf6DrCdN21VMwuTeaZHq
Victoria,She Must Burn,null,Grimoire,https://i.scdn.co/image/ab67616d0000b2732a3a639e05905f84e43af435,album,https://open.spotify.com/track/5Kh39ZD9cMUFK37rJSu7qH
Ceremony,Casey,null,Love Is Not Enough,https://i.scdn.co/image/ab67616d0000b273d9512201322147ca0832fbfe,album,https://open.spotify.com/track/10IvN9j5J4nJixtmPT79im
Mikasa,Veil Of Maya,null,Matriarch,https://i.scdn.co/image/ab67616d0000b273de27eb295d0e696a4cb5f284,album,https://open.spotify.com/track/2HOzIImONoureOPryEFArI
After Death,She Must Burn,null,Grimoire,https://i.scdn.co/image/ab67616d0000b2732a3a639e05905f84e43af435,album,https://open.spotify.com/track/0GGlboSJLMUVELpD1x8Ct0
Eclipse,She Must Burn,null,She Must Burn EP,https://i.scdn.co/image/ab67616d0000b2733011665f8ed9259501c18a02,single,https://open.spotify.com/track/49hcrWf6qf1NEadl0OmGRn
Wish to Exist,She Must Burn,null,She Must Burn EP,https://i.scdn.co/image/ab67616d0000b2733011665f8ed9259501c18a02,single,https://open.spotify.com/track/5LIYkpFzuMTY61PI5qXuXg
Into Light,She Must Burn,null,She Must Burn EP,https://i.scdn.co/image/ab67616d0000b2733011665f8ed9259501c18a02,single,https://open.spotify.com/track/5f7TGQ6VMTGp3ZpbHnjjrP
Wash Away,Ambleside,null,Shape Me,https://i.scdn.co/image/ab67616d0000b2733d3d005f74afad950499e08e,single,https://open.spotify.com/track/6cHOi5m75d3W57ezmw4WRr
Little Bird,Casey,null,Love Is Not Enough,https://i.scdn.co/image/ab67616d0000b273d9512201322147ca0832fbfe,album,https://open.spotify.com/track/2pssw953DXC1HHUcrD3Atw
Tired Eyes,Ambleside,null,New Tide,https://i.scdn.co/image/ab67616d0000b273947ba757de682f31b9d94c17,single,https://open.spotify.com/track/7pnCmKJSsxyPObMSTA3HFf
Letterbox Ross,Ambleside,null,New Tide,https://i.scdn.co/image/ab67616d0000b273947ba757de682f31b9d94c17,single,https://open.spotify.com/track/3ITNJIStThTFC50oWmeDGC
Sorry,Sleep Talk,null,Growing Pains,https://i.scdn.co/image/ab67616d0000b273e9ac81f3dce6fe25da858b26,single,https://open.spotify.com/track/0inbvkuJ9Sx7sx63fXorjM
Shiver,Vacant Home,null,Reflect, Respond,https://i.scdn.co/image/ab67616d0000b273e0c1a68c806bd7b1db43d3e8,album,https://open.spotify.com/track/3ntEiL5GlHfApGNBKmjr2a
For What It's Worth,The Air I Breathe,null,Great Faith In Fools,https://i.scdn.co/image/ab67616d0000b273e734af8bb49819b8b9c0405e,album,https://open.spotify.com/track/7hyVRanVUERhyK4s09tWQO
Keep Me in the Dark,Fiends,null,Me Time,https://i.scdn.co/image/ab67616d0000b2732de41424e1000d34233b6cca,album,https://open.spotify.com/track/4rcwSUnWj71pjIShZwOcJm
Thorns,Phinehas,null,The Fire Itself,https://i.scdn.co/image/ab67616d0000b273db60d7cc99c573703a14a4a7,album,https://open.spotify.com/track/6W9Qp2ysHp1WZBlGhqhAG8
Chain Wallet, Nike Shoes,The Fall of Troy,null,Chain Wallet, Nike Shoes,https://i.scdn.co/image/ab67616d0000b273c8c64f1645098c30940b1e56,single,https://open.spotify.com/track/1b1vYUXiIESl2NuTEgwiR0
Rage,Attila,null,Rage,https://i.scdn.co/image/ab67616d0000b273ecad85be8343318040c70fd0,album,https://open.spotify.com/track/17b8CVhCIcR7xxIJilvbyG
