name,artists,primary_color,album_name,album_image,album_type,spotify_url
Young,Vacations,null,Vibes,https://i.scdn.co/image/ab67616d0000b2739c93931e7cfa4d8216056795,single,https://open.spotify.com/track/1KIJclzEbNhSVw8tiHPWwE
All Alone,Acid Ghost,null,All Alone,https://i.scdn.co/image/ab67616d0000b27350841469c90736fc790cf300,single,https://open.spotify.com/track/72xnRXxHiAhTfKSzlPdEmo
Why,Craig Xen,null,Why,https://i.scdn.co/image/ab67616d0000b27327edcec3c3d490f03d99fda6,album,https://open.spotify.com/track/38WQifBT0OJOTPXuVnMJJr
Star Shopping,Lil Peep,null,Star Shopping,https://i.scdn.co/image/ab67616d0000b273e813c020ab6245eae154ec16,single,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
Deceived,Lil Xan,null,TOTAL XANARCHY,https://i.scdn.co/image/ab67616d0000b273b1950512a3bc3b9a36ad317d,album,https://open.spotify.com/track/6WEPEIjee7KQYm3PlCc5F2
Without U,Beach Goons,null,Boisad,https://i.scdn.co/image/ab67616d0000b2738a308113852cb48ea7a08379,album,https://open.spotify.com/track/7dBaJLQhmLFGeoZiNhra6m
Freaks,Surf Curse,null,Freaks,https://i.scdn.co/image/ab67616d0000b2739efda673310de265a2c1cf1f,single,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
Hope,XXXTENTACION,null,?,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,album,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
Idk How to Kill Myself,Yunggoth✰,null,Idk How to Kill Myself,https://i.scdn.co/image/ab67616d0000b273267d00f46cfebe4c9890d8d6,single,https://open.spotify.com/track/5ZJUvZxyzvJmi3sWQaWTHL
Jealous,Eyedress,null,Jealous,https://i.scdn.co/image/ab67616d0000b2734de4da55422167fcc47fba65,single,https://open.spotify.com/track/1aXV8GrmQLvgoFtBPERP7E
Kilby Girl,The Backseat Lovers,null,When We Were Friends,https://i.scdn.co/image/ab67616d0000b2738386795a636d72e74c958590,album,https://open.spotify.com/track/1170VohRSx6GwE6QDCHPPH
Let It Play,Lil Cobaine,null,Let It Play,https://i.scdn.co/image/ab67616d0000b273a647929c37e94379355361c9,single,https://open.spotify.com/track/5Z8YgNhAqCmTZObiM59Ods
Creep,carolesdaughter,null,Creep,https://i.scdn.co/image/ab67616d0000b273bfdc678421fc052acaf58ef3,single,https://open.spotify.com/track/5nC2VyPxefp5EXVViTcz7S
I'm Facing Demons,IDK Bryton, ITSOKTOCRY, PRXJEK, DDG, convolk, Lil Gnar, ICYTWAT, Lund,null,I'm Facing Demons,https://i.scdn.co/image/ab67616d0000b27382eeca45e46f231c287f1458,single,https://open.spotify.com/track/0gwmh3FyvuQwM3UAL6D1lP
we think too much,Lil Peep,null,HELLBOY,https://i.scdn.co/image/ab67616d0000b273e15ed14cb9cb4a9908f6cdde,album,https://open.spotify.com/track/5tlKygvcLAJr1dfQ94OsTs
