name,artists,primary_color,album_name,album_image,album_type,spotify_url
Dark Light,Night Lovell,null,Concept Vague,https://i.scdn.co/image/ab67616d0000b273ce3278a114fe6877b85372e3,album,https://open.spotify.com/track/7Cye3UbCA6UNuDykdCf3AB
She’s A 10 But… (Remix) (feat. Yung Gravy),ARTAN, Yung Gravy,null,She’s A 10 But… (Remix) (feat. Yung Gravy),https://i.scdn.co/image/ab67616d0000b273262f6b11f932c7c949b2b4ee,single,https://open.spotify.com/track/0aywJ1yyg6OzgFCxrrUd7R
ascend.mp3,mimofr,null,ascend.mp3,https://i.scdn.co/image/ab67616d0000b273f77879d95bbbde638f7a4e00,single,https://open.spotify.com/track/0y0Y3zRApSPsohnnUTrbgl
Conceited (feat. Lola Brooke & Maiya The Don),Flo Milli, Lola Brooke, Maiya The Don,null,Conceited (feat. Lola Brooke & Maiya The Don),https://i.scdn.co/image/ab67616d0000b273c39864b0a6ac36e96efda277,single,https://open.spotify.com/track/53acd3PVcgGCux58YABBr5
big talk,Marco Luka,null,big talk,https://i.scdn.co/image/ab67616d0000b273dfab8cbdda8a03b7932fe8d4,single,https://open.spotify.com/track/4lghbrxf9haQUp6BuRjAEq
JUST FRIENDS ?,Eem Triplin,null,JUST FRIENDS ?,https://i.scdn.co/image/ab67616d0000b2736f9e93c529a89f626a2c7620,single,https://open.spotify.com/track/7ppUTKvokd4vQ68TNAxuZk
WHATADAY,T-Choppa,null,WHATADAY,https://i.scdn.co/image/ab67616d0000b2739e6560333b22a106e2d5dfeb,single,https://open.spotify.com/track/6xLN4IRwUdkZyU2hO5QUxP
ICE COLD,Letoa,null,GLOCSTARR V1,https://i.scdn.co/image/ab67616d0000b273f320f53f242835e937b4a805,single,https://open.spotify.com/track/6uF3fb3UxjoVl7Ic781L9N
Limbo,Freddie Dredd,null,Freddie's Inferno,https://i.scdn.co/image/ab67616d0000b27369b381d574b329409bd806e6,album,https://open.spotify.com/track/37F7E7BKEw2E4O2L7u0IEp
Save Me from Myself,Wifisfuneral,null,4 Month Binge Before Revenge,https://i.scdn.co/image/ab67616d0000b2736514fba2ef7dd9d4b45abd8d,album,https://open.spotify.com/track/4HuitjB6Va7hTUabWKBVqz
Resurrection,Wifisfuneral,null,Resurrection,https://i.scdn.co/image/ab67616d0000b2739cb8820b60bd700f09f4d8f3,single,https://open.spotify.com/track/21Bi4BcGs9apaSniMgZu94
Trumpets,South Strip,null,Trumpets,https://i.scdn.co/image/ab67616d0000b2739679a261abf888b583e7b0ec,single,https://open.spotify.com/track/18wVzwlJ2zkBxzwV6SKNQs
AWKWARD CAR DRIVE,Germ, $uicideboy$,null,GERM HAS A DEATHWISH,https://i.scdn.co/image/ab67616d0000b273244a762c5d43209cb768b0b1,album,https://open.spotify.com/track/3aEDTqPcVXDiuKXaedAZgx
Want (feat. prodby668),Freddie Dredd, prodby668,null,Freddie's Inferno,https://i.scdn.co/image/ab67616d0000b27369b381d574b329409bd806e6,album,https://open.spotify.com/track/1sRqm1JxQL88mrHhMLpQ5y
Sodium,BONES,null,SoThereWeStood,https://i.scdn.co/image/ab67616d0000b27340bb7015344e6d31af3827e0,single,https://open.spotify.com/track/5oo7lrBwuD4dVfJbBLyVyI
Extinction,Killstation,null,Extinction,https://i.scdn.co/image/ab67616d0000b273045d7d98c6b1ebb12f336f09,single,https://open.spotify.com/track/3nF5bxOE63ZU6JiU4IJQB8
Gimme a Second,Saliva Grey,null,Desperate (For) Humanity,https://i.scdn.co/image/ab67616d0000b27344797aaed822aa5ef70037a6,album,https://open.spotify.com/track/4JnFpb0lxK5Czyd88gnMQw
Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q),A$AP Ferg, French Montana, A$AP Rocky, Trinidad James, ScHoolboy Q,null,Trap Lord,https://i.scdn.co/image/ab67616d0000b273005ca921bdef6548d4f71b76,album,https://open.spotify.com/track/7xVLFuuYdAvcTfcP3IG3dS
My Flaws Burn Through My Skin Like Demonic Flames from Hell,$uicideboy$,null,I No Longer Fear the Razor Guarding My Heel,https://i.scdn.co/image/ab67616d0000b273774096669395b9d64fa2fcbe,single,https://open.spotify.com/track/6QFQqqYye5lAcnhCALvxKJ
Whole Lotta Grey,$uicideboy$, Shakewell,null,SHAMELESS $UICIDE,https://i.scdn.co/image/ab67616d0000b273be478d1d2feca9f2a2b31a3b,single,https://open.spotify.com/track/4s0R9lDVKIchcSlFBPosIN
GoHardHuh,BONES,null,InLovingMemory,https://i.scdn.co/image/ab67616d0000b2732ac5c837ba37c08f4277e11b,album,https://open.spotify.com/track/7v6zWoWAcqvOLQHWr9abJN
Cooties/Castles,Faceless 1-7,null,Cooties/Castles,https://i.scdn.co/image/ab67616d0000b2730ff0290160424fe11d1b9dc8,single,https://open.spotify.com/track/1HEY55jmwwLqUNVnotpG5e
Sarcophagus,$uicideboy$, Ramirez,null,G.R.E.Y.G.O.D.S.,https://i.scdn.co/image/ab67616d0000b273363e76b72b348d8012b2ffd2,single,https://open.spotify.com/track/5o0FL29OWV58jrssUCh4gL
Hell Yeah,SoFaygo, Ken Carson,null,Hell Yeah,https://i.scdn.co/image/ab67616d0000b27388e1663ec8686b49807a866e,single,https://open.spotify.com/track/0jQ4mEnWB1AuSVqnFLhxT6
PINK ROSES,SportVVS,null,SPORT MODE,https://i.scdn.co/image/ab67616d0000b27330c0b0eb5f6becffcae71331,album,https://open.spotify.com/track/6XbdEy1AKlgNL7USRC2HQc
LOCK IT UP (feat. Yeat, midwxst & Matt Ox),Whethan, midwxst, Yeat, Matt OX,null,MIDNIGHT,https://i.scdn.co/image/ab67616d0000b273bd1efffbbeef258f1c83cc5b,album,https://open.spotify.com/track/3LkWdvgrJtFuM0ZoXKPlpH
AirplaneMode,BONES,null,IFeelLikeDirt,https://i.scdn.co/image/ab67616d0000b273d653f88352c2da499146473f,album,https://open.spotify.com/track/5XKZua8kqgHwcxeKiMIjge
LED,OmenXIII,null,Corrupted,https://i.scdn.co/image/ab67616d0000b273839837732307e5556ebafe45,album,https://open.spotify.com/track/0Sgk9iiFGgjVxJfXv2L3iF
Disaster,KSLV Noh,null,Disaster,https://i.scdn.co/image/ab67616d0000b2731115e7ebc1eae4e6b9027de6,single,https://open.spotify.com/track/29e4KOBzZDOX6qnpYbjwoW
42 Hundred Choices,IDK,null,Is He Real?,https://i.scdn.co/image/ab67616d0000b27321036922dca01ae33cac03ad,album,https://open.spotify.com/track/5yl7WSp3mot0nepMQvfVi3
Low Down,Lil Baby,null,My Turn (Deluxe),https://i.scdn.co/image/ab67616d0000b27376a4577dd654bf457a4ad1f8,album,https://open.spotify.com/track/5m0yZ33oOy0yYBtdTXuxQe
