name,artists,primary_color,album_name,album_image,album_type,spotify_url
El Diablo A Todas Horas,Galindo,null,Summer Nights,https://i.scdn.co/image/ab67616d0000b273135819b2b12d8495910febc1,single,https://open.spotify.com/track/4p0qf4ttepImsrW3Sjgkwo
Miénteme,Cruz Cafuné, Hathi,null,Miénteme,https://i.scdn.co/image/ab67616d0000b273545e0fc8ba23b73b464811be,single,https://open.spotify.com/track/3d0CVvh3V9XOesXzkrD21j
Rihanna,Finesse, BNMP, Jesse Baez, Indigo Jams,null,El Dorado,https://i.scdn.co/image/ab67616d0000b2736c846441d89172615187137a,album,https://open.spotify.com/track/4Qjd4QJTu4vQyN9cUg4tIn
TRÍO,NATHY PELUSO,null,Calambre,https://i.scdn.co/image/ab67616d0000b2735eb6fc30c41f63356f7af40a,album,https://open.spotify.com/track/6wCKKXJAfzP0BwPmLJKzrY
Daga,NATHY PELUSO,null,Esmeralda,https://i.scdn.co/image/ab67616d0000b2730a9c899fdc0d1e224f864e0e,album,https://open.spotify.com/track/0rdvxChAjvco05muND6SfN
Oreen Ishi,NATHY PELUSO,null,Esmeralda,https://i.scdn.co/image/ab67616d0000b2730a9c899fdc0d1e224f864e0e,album,https://open.spotify.com/track/4wKEvlClvZgXcrSCSfPCxV
Kun Fu,NATHY PELUSO,null,Esmeralda,https://i.scdn.co/image/ab67616d0000b2730a9c899fdc0d1e224f864e0e,album,https://open.spotify.com/track/1y3Vz6UcInyQqeYuW2k1EX
Corashe,NATHY PELUSO,null,Corashe,https://i.scdn.co/image/ab67616d0000b27397bd8b0157d8f9198f13dee4,single,https://open.spotify.com/track/1VyyetfExEA6Kn5uzt2xdT
MANSON,ill quentin,null,MANSON,https://i.scdn.co/image/ab67616d0000b273cfaeeb5162ac8539a3e774fc,single,https://open.spotify.com/track/00KzaBn6XwKhPO0lVlLLHY
Cámara Lenta,Paulo Londra,null,Cámara Lenta,https://i.scdn.co/image/ab67616d0000b273298a313d97e3fd0150e82afc,single,https://open.spotify.com/track/1OphvZqEV1jhzTGfCXSTWX
Gratis,Muerejoven, Halpe,null,Gratis,https://i.scdn.co/image/ab67616d0000b273be441f7dc2597136f3bd4d66,single,https://open.spotify.com/track/5OwgBDFrJDAYIrRGpZqXtL
Fredo,Muerejoven, Halpe,null,Fredo,https://i.scdn.co/image/ab67616d0000b2732f5ef8c14d30d3ad6aeaebab,single,https://open.spotify.com/track/2GyVeVGkk6T5OLMcBHxkND
Sol y Luna,Duki,null,Sol y Luna,https://i.scdn.co/image/ab67616d0000b2732867853c07521fec61960df3,single,https://open.spotify.com/track/1WMMrUKNFsnEG2csDURxhb
Alabame,NATHY PELUSO,null,Esmeralda,https://i.scdn.co/image/ab67616d0000b2730a9c899fdc0d1e224f864e0e,album,https://open.spotify.com/track/4KQ0rQMuQJf2SSQMwJFNhM
Mentira,Kinder Malo, Pimp Flaco, WBMS,null,Mentira,https://i.scdn.co/image/ab67616d0000b273cb2185157cbc8a98b3b5a985,single,https://open.spotify.com/track/63hWzqGr4FT23rKFyTu0Gw
Tsumugi,Pimp Flaco, Kinder Malo, Blackthoven,null,Tsumugi,https://i.scdn.co/image/ab67616d0000b273d5a9161e4e2b4a0f56e5c7c2,single,https://open.spotify.com/track/6W2NsqDx27uIdqPvejnMl8
