name,artists,primary_color,album_name,album_image,album_type,spotify_url
Fallinlove,zodivk,null,Fallinlove,https://i.scdn.co/image/ab67616d0000b2732fc4f13d76756457be0b1a7e,single,https://open.spotify.com/track/1lFtLdMNWHdJ8fZ8bIWeCw
Balance,Reo Cragun,null,Growing Pains,https://i.scdn.co/image/ab67616d0000b27339fadf2d03ca85cf9182142e,album,https://open.spotify.com/track/3UZk5nNItX1gozprxFLcGF
Friends,Flume, Reo Cragun,null,Friends,https://i.scdn.co/image/ab67616d0000b2731d7dc9072977fd651a68cee7,single,https://open.spotify.com/track/3Y8JSCYjFznthCYb5HZ8lW
Quits,Flume, Reo Cragun,null,Quits,https://i.scdn.co/image/ab67616d0000b2735735e2db2b8a17f50ee15ff4,single,https://open.spotify.com/track/5XR4V6uo2NCLkke1DyOcPY
Strawberries,Kito, Elley Duhé, Trinidad James, Kodie Shane,null,Strawberries,https://i.scdn.co/image/ab67616d0000b2730968483c8a4b7a3665a75f02,single,https://open.spotify.com/track/7yCf63B6U2NEFwTI53FDkC
The Difference,Flume, Toro y Moi,null,The Difference,https://i.scdn.co/image/ab67616d0000b273a8d74e789b99484e0e169001,single,https://open.spotify.com/track/4nlvKIIetOWGIMyhjQXgOZ
Rushing Back,Flume, Vera Blue,null,Rushing Back,https://i.scdn.co/image/ab67616d0000b273683d659e308221da35d3c0ca,single,https://open.spotify.com/track/2zoNNEAyPK2OGDfajardlY
Monsoon,Br*eakfast,null,Monsoon,https://i.scdn.co/image/ab67616d0000b27306d9a0206fd0a331e50caa90,single,https://open.spotify.com/track/5CjQFlgu9ciAFCN2jQlsOO
Smoke!,Cilo,null,LOS,https://i.scdn.co/image/ab67616d0000b27327c00bd772ea8110a1b65a33,album,https://open.spotify.com/track/29plRyh0eymIY3Kr0Nn8yY
Gotdamn,Cilo,null,LOS,https://i.scdn.co/image/ab67616d0000b27327c00bd772ea8110a1b65a33,album,https://open.spotify.com/track/2NsvGCm0U9FxBN5iAzgJYY
Fallinlove,zodivk,null,Fallinlove,https://i.scdn.co/image/ab67616d0000b2732fc4f13d76756457be0b1a7e,single,https://open.spotify.com/track/1lFtLdMNWHdJ8fZ8bIWeCw
Diamondz n Roses,VaporGod,null,Diamondz n Roses,https://i.scdn.co/image/ab67616d0000b273e17ce6fdfdd495d81a6a3a2f,single,https://open.spotify.com/track/3tUufRrj0xTrfzvuRa5QhU
Diamondz n Roses (Original Ver.),VaporGod,null,Diamondz n Roses (Original Ver.),https://i.scdn.co/image/ab67616d0000b27310b0807ee2c51b309cd83b3e,single,https://open.spotify.com/track/7CuLX3letzb3j7UJam032p
