name,artists,primary_color,album_name,album_image,album_type,spotify_url
Besame - Remix,Revol, Arcángel, Jon Z, Baby Rasta,undefined,Besame,https://i.scdn.co/image/ab67616d0000b27383ac9f1b66a09bd39232ab6a,single,https://open.spotify.com/track/1F87PpwlsyS046yQFcwx77
Metamorph,Oceans Ate Alaska,undefined,Disparity,https://i.scdn.co/image/ab67616d0000b273e578133b756856afffd01e93,album,https://open.spotify.com/track/5ccPWnc8B6dYVkDvACiuYx
Flex Up (feat. Future & Playboi Carti),Lil Yachty, Future, Playboi Carti,undefined,Lil Boat 3.5,https://i.scdn.co/image/ab67616d0000b273789e7bbd2cc0ae4085b4d59f,album,https://open.spotify.com/track/5Ryu0SlsYjKh78RkJUONFr
GOSHA,$NOT,undefined,- TRAGEDY +,https://i.scdn.co/image/ab67616d0000b2730566601aa12281a78204ffa7,album,https://open.spotify.com/track/0j8ppsOOawdPCJnSTcXgOy
E t h e r e a l,TOKYOPILL,undefined,E t h e r e a l,https://i.scdn.co/image/ab67616d0000b2735f5674da07c53bf54bb9f877,single,https://open.spotify.com/track/1RGYjwj7R7CYwNePNZfkgW
PHANTASMAGORIA,svlient,undefined,PHANTASMAGORIA,https://i.scdn.co/image/ab67616d0000b2736c77edaa147590d93ebaddbf,single,https://open.spotify.com/track/0UtxmoQiZa17ChJjqjgMC5
Rage,Aviana,undefined,Corporation,https://i.scdn.co/image/ab67616d0000b2733114a7f0078c3c39de83170a,album,https://open.spotify.com/track/7hbUShzL8kiMipv3sdZ5Wu
Daylight,Drake,undefined,For All The Dogs,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,album,https://open.spotify.com/track/4ZT0wGKwlJRjpMUuwZVy3p
CALL ME MAYBE,Duki,undefined,CALL ME MAYBE,https://i.scdn.co/image/ab67616d0000b2737e73b2aae4ae0085a1f7d825,single,https://open.spotify.com/track/7sQkCW2vO8Tbx57oQwAIKk
Not Even Ghosts Are This Empty,$uicideboy$,undefined,I No Longer Fear The Razor Guarding My Heel (V),https://i.scdn.co/image/ab67616d0000b2739ae2d5f3220065aaf33ad145,single,https://open.spotify.com/track/7rzNKooM3JrKVT40fR22HI
Bécane - A COLORS SHOW,Yamê,undefined,Bécane - A COLORS SHOW,https://i.scdn.co/image/ab67616d0000b2737dfba3f3ae607f250cdd969c,single,https://open.spotify.com/track/3oUEzTAoOxqZHN4xiqTGqJ
Can I Call You Tonight?,Dayglow,undefined,Fuzzybrain,https://i.scdn.co/image/ab67616d0000b2735160eaecb31b739ea1c2eaa5,album,https://open.spotify.com/track/61OJxhoY3Ix50rYVKo8zRK
For What It's Worth,The Air I Breathe,undefined,Great Faith In Fools,https://i.scdn.co/image/ab67616d0000b273c512b99913bf4a5563ab98ef,album,https://open.spotify.com/track/61Ae6bZE5DBfrdvSrHZvWG
undefined,,undefined,single,https://open.spotify.com/track/5XNfTJo7E96ZQG45GEfCwD
So High,Doja Cat,undefined,So High,https://i.scdn.co/image/ab67616d0000b273b6d713c27625220479563dd5,single,https://open.spotify.com/track/2qyhy9ndo8tTGMzXeHTisR
Hate Me (with Juice WRLD),Ellie Goulding, Juice WRLD,undefined,Hate Me (with Juice WRLD),https://i.scdn.co/image/ab67616d0000b273dc854e032e8588d5e75eebc6,single,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
Pimp In Peace,Cool Company,undefined,Know Better,https://i.scdn.co/image/ab67616d0000b273ca4a3fee0e3eb31dc69549d7,album,https://open.spotify.com/track/1GZvv9vGxri2fist7Rf5iu
